competitor_id,pixel_ids,param_keys,ad_count
YWRfaWR8ZmJj,,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,436
YWRfaWR8Y2xp,,ad_id|clickid|fbclick|fbclid|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,24
ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,," with benefits you might not expect. 
 https://nextanswers.pro/""",19
ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,," tired skin! Get fresh and glowing with our laser treatments. Limited time offer: $99 (was $1100!) Book now and start radiant!""",2
ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,," nutritious meals delivered right to their doorstep—see if you or a loved one are eligible today. 
 nextanswers.pro""",4
000? 🚗💨 ¡Sí,"000 
 ¿Una GMC Sierra 1500 por menos de $10","""GMC Sierra 1500 Desde Menos de $10",8
bmV4dGFuc3dl,,,14
 your bite," natural-looking teeth that never move or cause pain
🔥 Stop feeling embarrassed—own your smile and live without limits
🔥 Take back your confidence"," and ruin your smile? Enough is enough!
🔥 Get permanent",26
 no fees,000—no insurance,"000 for Doing Almost Nothing – Sleep Apnea Trial Paying NOW! 
 Crazy fast cash! 💸 Participate in sleep apnea clinical trials and pocket up to $4",11
 tests,500 and gives all care,"500 + FREE Treatment—Join This Study TODAY! 
 Stop wasting money on meds and doctor visits 💸. This study pays $1",7
 and earn up to $3, test new treatments,"000 Reward 💰 
 Researchers are looking for neuropathy trial participants right now. Get access to expert care",3
